lockitver|DO NOT DELETE THIS LINE! Tradução PTBR - 2018-2021 - by Evandro Neto
dlga_start:member_talk|Sim?
dlga_start:close_window.1|{s54}
dlga_prisoner_chat:lady_prisoner_chat_2|Você é minha prisioneira, lady. Me diga, o que eu lhe fiz para que se levantasse contra mim?
dlga_lady_prisoner_chat_2:do_lady_options|Fui obrigada {reg63?meu Senhor:minha Senhora}, eu temia por minha vida. Imploro por sua misericórdia e deixo meu destino em suas mãos.
dlga_member_chat:lady_member_talk|Saudações {reg63?Senhor:Senhora}. Obrigada por me salvar!
dlga_lady_member_talk:lady_member_options|Não há de quê. O que posso fazer por você?
dlga_lady_member_options:do_lady_options|Meu destino, como vê, repousa em suas mãos.
dlga_do_lady_options:lady_end_talk|Vou libertá-la... e sei que o {s3} ficará imensamente agradecido.
dlga_do_lady_options:lady_end_talk.1|Vou libertá-la mediante o pagamento de um resgate, embora isso possa repercutir de forma negativa com o {s3}.
dlga_do_lady_options:lady_end_talk.2|Vou investir 200 denares em equipamentos para que você lute ao meu lado.
dlga_do_lady_options:lady_end_talk.3|Nos falaremos depois.
dlga_lady_end_talk:close_window|Como quiser.
dlga_start:close_window.2|Essa pessoa parece ocupada.
dlga_start:close_window.3|Essa pessoa parece ocupada.
dlga_start:magic_weapon_dialogue_1|Bons ventos lhe guiem! O que lhe traz às Minas de Aziz?
dlga_start:magic_weapon_3a|Bons ventos lhe guiem! {reg63?Bem-vindo:Bem-vinda} novamente às Minas de Aziz.
dlga_magic_weapon_dialogue_1:magic_weapon_2|Perdoe-me, eu encontrei um mapa para essa localização e viajei aqui na intenção de explorá-la. Quem é você e o que faz aqui com este velho louco?
dlga_magic_weapon_2:magic_weapon_a2|Eu venho sendo chamado por muitos nomes ao longo dos anos. Humm, creio que você pode me chamar de Hamidaron. Sim, parece adequado, não acha? ^^ O que eu faço aqui? Bem, estou esperando por clientes. Você é {reg63?um:uma} cliente?
dlga_magic_weapon_a2:magic_weapon_a3a|Sim, creio que seja um bom nome, lhe cai bem. Eu não sei se sou {reg63?um:uma} cliente ou não... o que você vende?
dlga_magic_weapon_3a:magic_weapon_a3a|Saudações para você também. O que tem à venda?
dlga_magic_weapon_a3a:magic_weapon_a3|Eu vendo os mais incríveis artefatos já criados por mãos mortais. Mas poucos são os que podem ver minhas mercadorias. ^^ Se não pode ver o que ofereço, então não é o momento certo. Você deve voltar depois.
dlga_magic_weapon_a3:close_window|Eu quero este Machado Rúnico.
dlga_magic_weapon_a3:close_window.1|Eu quero esta Espada de Duas Mãos Rúnica.
dlga_magic_weapon_a3:close_window.2|Eu quero esta Espada Rúnica.
dlga_magic_weapon_a3:close_window.3|Eu quero esta Glaive Rúnica.
dlga_magic_weapon_a3:close_window.4|Eu quero este Arco Rúnico.
dlga_magic_weapon_a3:close_window.5|Meus cumprimentos, agora estou de saída.
dlga_start:magic_azziz_1|Hein? Venha aqui... não perca tempo... vamos, rápido... sim, sim, sim. Um Segredo eu irei lhe contar. ^^ Ouça com atenção. HÁ! Vocês caçam uma Codorna, arruíne-as bem. Troque isso pela criação de um homem mortal*. Então retorne para mim e nos falaremos... talvez, sim, especialmente se você trouxer algum vinho. Eu gosto de vinho. ^^^^(* não equipe o item, mantenha no inventário o tempo todo)
dlga_magic_azziz_1:close_window|Segredos, Caçar Codorna e Vinho? Velho louco! Tenho coisas melhores para fazer... adeus.
dlga_start:magic_azziz_a1|Hein? Você novamente? O que quer? Se perdeu? *fareja-fareja*... Você tem vinho para mim?
dlga_magic_azziz_a1:magic_weapon_a3|Vinho? Sim, aqui está um vinho para você.
dlga_magic_azziz_a1:close_window|[Mentir] Não, eu não tenho nenhum vinho!
dlga_magic_weapon_a3:magic_azziz_a3|[ARROTO!] aaaah! Isso bateu naquele lugar... Eu ah... sim... onde nós estávamos... [YAWN...ZZZZZZ].
dlga_magic_azziz_a3:close_window|Hei! Você! Acorde! Seu velho caduco!
dlga_start:close_window.4|Hein? Você novamente... sem nenhum vinho? SEM VINHO??? Então adeus!
dlga_start:magic_azziz_7|Hein? Você novamente... você tem mais alguma coisa?
dlga_magic_azziz_7:magic_azziz_9|Eu poderia... dar uma olhada no meu inventário.^^^^^(o item deve estar NO inventário, e NÃO equipado)
dlga_magic_azziz_9:magic_azziz_8|Hein? Me deixe ver o que posso fazer... ^^Humm... Eu posso colocar uma pedra preciosa no encaixe do item.
dlga_magic_azziz_8:close_window|Inserir uma Safira no Machado Rúnico.
